,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
,,15,Intel,Ivy Bridge,2011,22,5.41,https://en.wikichip.org/wiki/intel/microarchitectures/ivy_bridge_(client)
,,4,Intel,Sandy Bridge,2010,32,2.16,https://en.wikichip.org/wiki/intel/microarchitectures/sandy_bridge_(client)
,,8,Intel,Ice Lake,2021,10,3.70,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,10,Intel,Ice Lake,2021,10,3.70,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,12,Intel,Ice Lake,2021,10,3.70,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,16,Intel,Ice Lake,2021,10,3.70,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,18,Intel,Ice Lake,2021,10,5.05,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,20,Intel,Ice Lake,2021,10,5.05,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,24,Intel,Ice Lake,2021,10,5.05,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,26,Intel,Ice Lake,2021,10,5.05,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,28,Intel,Ice Lake,2021,10,5.05,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,32,Intel,Ice Lake,2021,10,6.40,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
,,36,Intel,Ice Lake,2021,10,6.40,https://semianalysis.com/intel-icelake-server-die-size-floorplan-inefficiencies-revealed/
